pid,pid_hex,name,description,formula,unit,min_value,max_value,ecu_header,service,manufacturer,vehicle_model,category,data_source,confidence
7CE3,7CE3,HV Battery Current,High-voltage battery current (positive=charge),((A*256+B)-32768)*0.01,A,-300,300,7E3,22,Toyota,,hv_battery,curated_expert,high
7CE2,7CE2,HV Battery Voltage,High-voltage battery pack voltage,(A*256+B)*0.01,V,0,350,7E3,22,Toyota,,hv_battery,curated_expert,high
F40C,F40C,DPF Soot Mass,Diesel particulate filter soot mass,(A*256+B)*0.01,g,0,100,7E0,22,VAG,,emission,curated_expert,high
F40D,F40D,DPF Regeneration Distance,Distance since last DPF regeneration,(A*256+B),km,0,2000,7E0,22,VAG,,emission,curated_expert,high
2031,2031,Turbo Boost Deviation,Deviation between target and actual boost pressure,((A*256+B)-32768)*0.001,bar,-1,1,7E0,22,VAG,,engine,curated_expert,high
2101,2101,HV Battery Module Temperatures,Battery management system module temperatures,A-40,°C,-40,80,7E4,22,Hyundai/Kia,,hv_battery,curated_expert,high
2105,2105,HV Battery Cell Voltages,Individual cell voltage readings from BMS,(A*256+B)*0.001,V,2.5,4.2,7E4,22,Hyundai/Kia,,hv_battery,curated_expert,high
D100,D100,Engine Oil Temperature,Engine oil sump temperature,A-40,°C,-40,180,7E0,22,BMW,,engine,curated_expert,high
D10A,D10A,Charge Air Pressure,Turbocharger charge air pressure,(A*256+B)*0.01,mbar,0,3000,7E0,22,BMW,,engine,curated_expert,high
1203,1203,HV Battery SoH,High-voltage battery state of health,A*100/255,%,0,100,79B,22,Nissan,,hv_battery,curated_expert,high
